province_code,province_name,forecast_time,rain_score,rain_risk_level,storm_score,storm_risk_level,flood_score,flood_risk_level,combined_score,combined_risk_level
1,Thành phố Hà Nội,2026-07-16 12:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 13:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 14:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 15:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 16:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 17:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 18:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 19:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 20:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 21:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 22:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 23:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 00:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 01:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 02:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 03:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 04:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 05:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 06:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 07:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 08:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 09:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 10:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 11:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 12:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-10 13:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-10 14:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 15:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 16:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 17:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 18:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 19:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 20:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 21:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 22:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-10 23:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 00:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 01:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 02:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 03:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 04:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 05:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 06:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 07:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 08:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 09:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 10:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-11 11:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 12:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-11 13:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-11 14:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 15:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-11 16:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 17:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 18:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 19:00:00,0,Low,2,High,0,Low,2,High
11,Tỉnh Điện Biên,2026-07-11 20:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 21:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 22:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-11 23:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 00:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 01:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 02:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 03:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 04:00:00,0,Low,0,Low,0,Low,0,Low
11,Tỉnh Điện Biên,2026-07-12 05:00:00,0,Low,0,Low,0,Low,0,Low
